bohf_txt;aar;alder;ermann;teknikk;Antall;bohf
Stavanger;2014;2;0;Totalt;27;13
Østfold;2014;2;0;Totalt;43;14
Akershus;2014;2;0;Totalt;37;15
OUS;2014;2;0;Totalt;59;16
Innlandet;2014;2;0;Totalt;43;19
Vestre Viken;2014;2;0;Totalt;43;20
Vestfold;2014;2;0;Totalt;30;21
Telemark;2014;2;0;Totalt;17;22
Sørlandet;2014;2;0;Totalt;33;23
Norge;2014;2;0;Totalt;529;9999
Finnmark;2015;2;0;Totalt;6;1
UNN;2015;2;0;Totalt;15;2
Nordland;2015;2;0;Totalt;14;3
Helgeland;2015;2;0;Totalt;5;4
Nord-Trøndelag;2015;2;0;Totalt;17;6
St. Olavs;2015;2;0;Totalt;26;7
Møre og Romsdal;2015;2;0;Totalt;26;8
Førde;2015;2;0;Totalt;3;10
Bergen;2015;2;0;Totalt;41;11
Fonna;2015;2;0;Totalt;23;12
Stavanger;2015;2;0;Totalt;29;13
Østfold;2015;2;0;Totalt;45;14
Akershus;2015;2;0;Totalt;37;15
OUS;2015;2;0;Totalt;38;16
Innlandet;2015;2;0;Totalt;53;19
Vestre Viken;2015;2;0;Totalt;43;20
Vestfold;2015;2;0;Totalt;20;21
Telemark;2015;2;0;Totalt;18;22
Sørlandet;2015;2;0;Totalt;33;23
Norge;2015;2;0;Totalt;492;9999
Finnmark;2013;3;0;Totalt;9;1
UNN;2013;3;0;Totalt;20;2
Nordland;2013;3;0;Totalt;18;3
Helgeland;2013;3;0;Totalt;7;4
Nord-Trøndelag;2013;3;0;Totalt;14;6
St. Olavs;2013;3;0;Totalt;34;7
Møre og Romsdal;2013;3;0;Totalt;27;8
Førde;2013;3;0;Totalt;6;10
Bergen;2013;3;0;Totalt;56;11
Fonna;2013;3;0;Totalt;21;12
Stavanger;2013;3;0;Totalt;29;13
Østfold;2013;3;0;Totalt;46;14
Akershus;2013;3;0;Totalt;29;15
OUS;2013;3;0;Totalt;63;16
Innlandet;2013;3;0;Totalt;53;19
Vestre Viken;2013;3;0;Totalt;52;20
Vestfold;2013;3;0;Totalt;26;21
Telemark;2013;3;0;Totalt;21;22
Sørlandet;2013;3;0;Totalt;27;23
Norge;2013;3;0;Totalt;558;9999
Finnmark;2014;3;0;Totalt;8;1
UNN;2014;3;0;Totalt;10;2
Nordland;2014;3;0;Totalt;21;3
Helgeland;2014;3;0;Totalt;8;4
Nord-Trøndelag;2014;3;0;Totalt;14;6
St. Olavs;2014;3;0;Totalt;41;7
Møre og Romsdal;2014;3;0;Totalt;37;8
Førde;2014;3;0;Totalt;6;10
Bergen;2014;3;0;Totalt;43;11
Fonna;2014;3;0;Totalt;25;12
Stavanger;2014;3;0;Totalt;40;13
Østfold;2014;3;0;Totalt;38;14
Akershus;2014;3;0;Totalt;39;15
OUS;2014;3;0;Totalt;62;16
Innlandet;2014;3;0;Totalt;67;19
Vestre Viken;2014;3;0;Totalt;47;20
Vestfold;2014;3;0;Totalt;26;21
Telemark;2014;3;0;Totalt;32;22
Sørlandet;2014;3;0;Totalt;36;23
Norge;2014;3;0;Totalt;600;9999
Finnmark;2015;3;0;Totalt;6;1
UNN;2015;3;0;Totalt;22;2
Nordland;2015;3;0;Totalt;22;3
Helgeland;2015;3;0;Totalt;4;4
Nord-Trøndelag;2015;3;0;Totalt;19;6
St. Olavs;2015;3;0;Totalt;29;7
Møre og Romsdal;2015;3;0;Totalt;25;8
Førde;2015;3;0;Totalt;11;10
Bergen;2015;3;0;Totalt;40;11
Fonna;2015;3;0;Totalt;17;12
Stavanger;2015;3;0;Totalt;34;13
Østfold;2015;3;0;Totalt;43;14
Akershus;2015;3;0;Totalt;34;15
OUS;2015;3;0;Totalt;43;16
Innlandet;2015;3;0;Totalt;45;19
Vestre Viken;2015;3;0;Totalt;52;20
Vestfold;2015;3;0;Totalt;27;21
Telemark;2015;3;0;Totalt;29;22
Sørlandet;2015;3;0;Totalt;33;23
Norge;2015;3;0;Totalt;535;9999
Finnmark;2013;4;0;Totalt;3;1
UNN;2013;4;0;Totalt;22;2
Nordland;2013;4;0;Totalt;21;3
Helgeland;2013;4;0;Totalt;4;4
Nord-Trøndelag;2013;4;0;Totalt;22;6
St. Olavs;2013;4;0;Totalt;33;7
Møre og Romsdal;2013;4;0;Totalt;46;8
Førde;2013;4;0;Totalt;18;10
Bergen;2013;4;0;Totalt;52;11
Fonna;2013;4;0;Totalt;46;12
Stavanger;2013;4;0;Totalt;41;13
Østfold;2013;4;0;Totalt;49;14
Akershus;2013;4;0;Totalt;25;15
OUS;2013;4;0;Totalt;69;16
Innlandet;2013;4;0;Totalt;53;19
Vestre Viken;2013;4;0;Totalt;69;20
Vestfold;2013;4;0;Totalt;31;21
Telemark;2013;4;0;Totalt;21;22
Sørlandet;2013;4;0;Totalt;34;23
Norge;2013;4;0;Totalt;659;9999
Finnmark;2014;4;0;Totalt;6;1
UNN;2014;4;0;Totalt;20;2
Nordland;2014;4;0;Totalt;17;3
Helgeland;2014;4;0;Totalt;10;4
Nord-Trøndelag;2014;4;0;Totalt;14;6
St. Olavs;2014;4;0;Totalt;31;7
Møre og Romsdal;2014;4;0;Totalt;43;8
Førde;2014;4;0;Totalt;9;10
Bergen;2014;4;0;Totalt;55;11
Fonna;2014;4;0;Totalt;30;12
Stavanger;2014;4;0;Totalt;43;13
Østfold;2014;4;0;Totalt;46;14
Akershus;2014;4;0;Totalt;35;15
OUS;2014;4;0;Totalt;93;16
Innlandet;2014;4;0;Totalt;58;19
Vestre Viken;2014;4;0;Totalt;78;20
Vestfold;2014;4;0;Totalt;30;21
Telemark;2014;4;0;Totalt;40;22
Sørlandet;2014;4;0;Totalt;45;23
Norge;2014;4;0;Totalt;703;9999
Finnmark;2015;4;0;Totalt;7;1
UNN;2015;4;0;Totalt;28;2
Nordland;2015;4;0;Totalt;13;3
Helgeland;2015;4;0;Totalt;8;4
Nord-Trøndelag;2015;4;0;Totalt;9;6
St. Olavs;2015;4;0;Totalt;43;7
Møre og Romsdal;2015;4;0;Totalt;41;8
Førde;2015;4;0;Totalt;14;10
Bergen;2015;4;0;Totalt;60;11
Fonna;2015;4;0;Totalt;24;12
Stavanger;2015;4;0;Totalt;38;13
Østfold;2015;4;0;Totalt;48;14
Akershus;2015;4;0;Totalt;38;15
OUS;2015;4;0;Totalt;78;16
Innlandet;2015;4;0;Totalt;52;19
Vestre Viken;2015;4;0;Totalt;64;20
Vestfold;2015;4;0;Totalt;29;21
Telemark;2015;4;0;Totalt;36;22
Sørlandet;2015;4;0;Totalt;46;23
Norge;2015;4;0;Totalt;676;9999
